fragment_id	num_folds	num_superfamilies	ribosomal	alva_na_binding	scop_folds	mapped_luca_pfams	mapped_rna	mapped_dna	mapped_domains	mapping_sources
1	14	20	S19e	DNA	a.4	3	0	3	PF01325(Fe_dep_repress,DNA,transcription); PF09339(HTH_IclR,DNA,transcription); PF13404(HTH_AsnC-type,DNA,transcription)	ribosomal:S19e→PF01090(age=LACA); SCOP:a.4→PF01325; SCOP:a.4→PF09339; SCOP:a.4→PF13404
2	8	15	S13	DNA+RNA	a.60	6	5	1	PF00398(RrnaAD,RNA,rna_modification); PF01170(UPF0020,RNA,other); PF01189(Methyltr_RsmB-F,RNA,rna_modification); PF01555(N6_N4_Mtase,DNA,dna_modification); PF02475(Met_10,RNA,rna_modification); PF13847(Methyltransf_31,RNA,rna_modification)	ribosomal:S13→PF00416(age=LACA); SCOP:a.60→PF00398; SCOP:a.60→PF01170; SCOP:a.60→PF01189; SCOP:a.60→PF01555; SCOP:a.60→PF02475; SCOP:a.60→PF13847
3	3	3		DNA	c.37.1.20	9	7	2	PF00009(GTP_EFTU,RNA,translation); PF00270(DEAD,RNA,rna_processing); PF00448(SRP54,RNA,translation); PF00488(MutS_V,DNA,dna_repair); PF00580(UvrD-helicase,RNA,rna_processing); PF01926(MMR_HSR1,RNA,translation); PF04851(ResIII,RNA,other); PF05191(ADK_lid,RNA,other); PF06733(DEAD_2,DNA,rna_processing)	SCOP:c.37.1.20→PF00009; SCOP:c.37.1.20→PF00270; SCOP:c.37.1.20→PF00448; SCOP:c.37.1.20→PF00488; SCOP:c.37.1.20→PF00580; SCOP:c.37.1.20→PF01926; SCOP:c.37.1.20→PF04851; SCOP:c.37.1.20→PF05191; SCOP:c.37.1.20→PF06733
4	2	2	L29	RNA	a.2	0	0	0		ribosomal:L29→PF00831(age=LBCA)
5	2	2	S5	RNA		0	0	0		ribosomal:S5→PF00333(age=Inspect)
6	2	2	S3	DNA+RNA		0	0	0		ribosomal:S3→PF00189(age=TACK)
7	6	8		DNA	c.2,c.66	5	5	0	PF00133(tRNA-synt_1,RNA,translation); PF00579(tRNA-synt_1b,RNA,translation); PF00749(tRNA-synt_1c,RNA,translation); PF00750(tRNA-synt_1d,RNA,translation); PF09334(tRNA-synt_1g,RNA,translation)	SCOP:c.2→PF00133; SCOP:c.2→PF00579; SCOP:c.2→PF00749; SCOP:c.2→PF00750; SCOP:c.2→PF09334
8	10	10			c.2,c.66	5	5	0	PF00133(tRNA-synt_1,RNA,translation); PF00579(tRNA-synt_1b,RNA,translation); PF00749(tRNA-synt_1c,RNA,translation); PF00750(tRNA-synt_1d,RNA,translation); PF09334(tRNA-synt_1g,RNA,translation)	SCOP:c.2→PF00133; SCOP:c.2→PF00579; SCOP:c.2→PF00749; SCOP:c.2→PF00750; SCOP:c.2→PF09334
9	2	2		DNA		0	0	0		
10	3	4	S4	RNA		1	1	0	PF01479(S4,RNA,rna_binding_structural)	ribosomal:S4→PF01479
11	2	2	TL5	RNA		0	0	0		ribosomal:TL5→PF00673(age=Inspect)
12	4	8	L27	RNA	b.84.1	0	0	0		ribosomal:L27→PF01016(age=unclassifiable)
13	5	30		DNA	all_folds	0	0	0		
14	2	2		DNA		0	0	0		
15	5	7			d.37.1	0	0	0		
16	3	3			c.37	9	7	2	PF00009(GTP_EFTU,RNA,translation); PF00270(DEAD,RNA,rna_processing); PF00448(SRP54,RNA,translation); PF00488(MutS_V,DNA,dna_repair); PF00580(UvrD-helicase,RNA,rna_processing); PF01926(MMR_HSR1,RNA,translation); PF04851(ResIII,RNA,other); PF05191(ADK_lid,RNA,other); PF06733(DEAD_2,DNA,rna_processing)	SCOP:c.37→PF00009; SCOP:c.37→PF00270; SCOP:c.37→PF00448; SCOP:c.37→PF00488; SCOP:c.37→PF00580; SCOP:c.37→PF01926; SCOP:c.37→PF04851; SCOP:c.37→PF05191; SCOP:c.37→PF06733
17	3	3			a.24	0	0	0		
18	2	2			d.58.1,d.58	1	1	0	PF02171(Piwi,RNA,other)	SCOP:d.58.1→PF02171; SCOP:d.58→PF02171
19	3	3				0	0	0		
20	2	2				0	0	0		
21	2	2				0	0	0		
22	2	2				0	0	0		
23	2	2				0	0	0		
24	2	2	L7/12			0	0	0		ribosomal:L7/12→PF00542(age=LBCA)
25	3	3				0	0	0		
26	2	2				0	0	0		
27	7	12			a.24,a.118	0	0	0		
28	2	2				0	0	0		
29	2	2				0	0	0		
30	2	2				0	0	0		
31	2	2				0	0	0		
32	2	2				0	0	0		
33	2	2				0	0	0		
34	3	4				0	0	0		
35	2	2			d.58	1	1	0	PF02171(Piwi,RNA,other)	SCOP:d.58→PF02171
36	2	2				0	0	0		
37	2	2				0	0	0		
38	2	2				0	0	0		
39	2	2				0	0	0		
40	2	2				0	0	0		
