domain_name	pfam_id	source
23S_rRNA_IVP	PF05635	rbpworld_only
2OG-FeII_Oxy	PF03171	rbpworld_only
2OG-FeII_Oxy_2	PF13532	rbpworld_only
5_3_exonuc	PF01367	rbpworld_only
5_3_exonuc_N	PF02739	rbpworld_only
AAR2	PF05282	both
AARP2CN	PF08142	both
ABC_N	PF20446	rbpworld_only
AD	PF09793	both
ADK_lid	PF05191	rbpworld_only
AF-4	PF05110	both
AKAP7_NLS	PF10469	both
AKAP95	PF04988	both
ALKBH8_N	PF09004	rbpworld_only
ANAPC5	PF12862	rbpworld_only
ANGEL2_N	PF19339	rbpworld_only
ANTAR	PF03861	eurbpdb_only
APOBEC_C	PF05240	both
APOBEC_N	PF08210	both
APO_RNA-bind	PF05634	both
ARS2	PF04959	both
ASCH	PF04266	both
AXH	PF08517	both
A_deamin	PF02137	both
Aconitase	PF00330	both
Aconitase_C	PF00694	both
AdoMet_MTase	PF07757	both
Agenet	PF05641	both
Ago_hook	PF10427	both
Alba	PF01918	both
Anticodon_1	PF08264	both
Arb1	PF09692	both
Arb2	PF09757	both
Arg_tRNA_synt_N	PF03485	both
AviRa	PF11599	eurbpdb_only
B2	PF11473	eurbpdb_only
B3_4	PF03483	both
B5	PF03484	both
BDHCT	PF08072	both
BOP1NT	PF08145	both
BRK	PF07533	both
BTV_NS2	PF04514	eurbpdb_only
BUD22	PF09073	both
Beta-Casp	PF10996	both
Bin3	PF06859	both
Brix	PF04427	both
Btz	PF09405	both
Bud13	PF09736	both
Bystin	PF05291	both
CAF1	PF04857	both
CAT_RBD	PF03123	eurbpdb_only
CBF	PF03914	both
CBFNT	PF08143	both
CID	PF04818	rbpworld_only
CID_GANP	PF16766	rbpworld_only
CM1	PF03026	eurbpdb_only
CM2	PF03021	eurbpdb_only
CMS1	PF14617	both
CNOT11	PF10155	both
CNPase	PF05881	both
CPDase	PF07823	both
CPL	PF08144	both
CPSF73-100_C	PF11718	both
CPSF_A	PF03178	both
CREPT	PF16566	rbpworld_only
