pfam_id	pfam_name	go_terms	source
PF00009	GTP_EFTU	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00013	KH_1	GO:0003723:RNA binding	GO+EuRBPDB
PF00075	RNase_H	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00076	RRM_1	GO:0003723:RNA binding	GO+EuRBPDB
PF00098	zf-CCHC	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00133	tRNA-synt_1	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00152	tRNA-synt_2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00163	Ribosomal_S4	GO:0019843:rRNA binding	GO+EuRBPDB
PF00164	Ribosom_S12_S23	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00189	Ribosomal_S3_C	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00203	Ribosomal_S19	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00237	Ribosomal_L22	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00238	Ribosomal_L14	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00253	Ribosomal_S14	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00262	Calreticulin	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00270	DEAD	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00276	Ribosomal_L23	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00297	Ribosomal_L3	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00298	Ribosomal_L11	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00312	Ribosomal_S15	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00313	CSD	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00318	Ribosomal_S2	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00333	Ribosomal_S5	GO:0003723:RNA binding	GO+EuRBPDB
PF00347	Ribosomal_L6	GO:0019843:rRNA binding	GO+EuRBPDB
PF00366	Ribosomal_S17	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
PF00380	Ribosomal_S9	EuRBPDB:RNA-binding domain (EuRBPDB 791)	GO+EuRBPDB
