pfam_id	pfam_name	go_terms	source
PF02334	RTP	GO:0003677:DNA binding	GO
PF02362	B3	GO:0003677:DNA binding	GO
PF02365	NAM	GO:0003677:DNA binding	GO
PF02371	Transposase_20	GO:0003677:DNA binding	GO
PF02376	CUT	GO:0003677:DNA binding	GO
PF02384	N6_Mtase	GO:0003677:DNA binding	GO
PF02399	Herpes_ori_bp	GO:0003688:DNA replication origin binding	GO
PF02452	PemK_toxin	GO:0003677:DNA binding	GO
PF02459	Adeno_terminal	GO:0003677:DNA binding	GO
PF02575	YbaB_DNA_bd	GO:0003677:DNA binding	GO
PF02583	Trns_repr_metal	GO:0003677:DNA binding	GO
PF02586	SRAP	GO:0003697:single-stranded DNA binding	GO
PF02701	Zn_ribbon_Dof	GO:0003677:DNA binding	GO
PF02732	ERCC4	GO:0003677:DNA binding	GO
PF02735	Ku	GO:0003677:DNA binding	GO
PF02739	5_3_exonuc_N	GO:0003677:DNA binding	GO
PF02747	PCNA_C	GO:0003677:DNA binding	GO
PF02765	POT1	GO:0003677:DNA binding	GO
PF02768	DNA_pol3_beta_3	GO:0003677:DNA binding	GO
PF02796	HTH_7	GO:0003677:DNA binding	GO
PF02805	Ada_Zn_binding	GO:0003677:DNA binding	GO
PF02864	STAT_bind	GO:0003677:DNA binding	GO
PF02892	zf-BED	GO:0003677:DNA binding	GO
PF02899	Phage_int_SAM_1	GO:0003677:DNA binding	GO
PF02905	EBV-NA1	GO:0003677:DNA binding	GO
PF02914	DDE_2	GO:0003677:DNA binding	GO
PF02919	Topoisom_I_N	GO:0003677:DNA binding	GO
PF02920	Integrase_DNA	GO:0003677:DNA binding	GO
PF02944	BESS	GO:0003677:DNA binding	GO
PF02954	HTH_8	GO:0043565:sequence-specific DNA binding	GO
PF02961	SAM_BAF	GO:0003677:DNA binding	GO
PF02963	EcoRI	GO:0003677:DNA binding	GO
PF02976	MutH	GO:0003677:DNA binding	GO
PF02980	FokI_dom_2	GO:0003677:DNA binding	GO
PF02981	FokI_D1	GO:0003677:DNA binding	GO
PF03089	RAG2	GO:0003677:DNA binding	GO
PF03106	WRKY	GO:0043565:sequence-specific DNA binding	GO
PF03110	SBP	GO:0003677:DNA binding	GO
PF03118	RNA_pol_A_CTD	GO:0003677:DNA binding	GO
PF03126	Plus-3	GO:0003677:DNA binding	GO
PF03131	bZIP_Maf	GO:0003677:DNA binding	GO
PF03175	DNA_pol_B_2	GO:0003677:DNA binding	GO
PF03293	Pox_RNA_pol	GO:0003677:DNA binding	GO
PF03310	Cauli_DNA-bind	GO:0003677:DNA binding	GO
PF03327	Herpes_VP19C	GO:0003677:DNA binding	GO
PF03374	ANT	GO:0003677:DNA binding	GO
PF03396	Pox_RNA_pol_35	GO:0003677:DNA binding	GO
PF03400	DDE_Tnp_IS1	GO:0003677:DNA binding	GO
PF03444	WHD_HrcA	GO:0003677:DNA binding	GO
PF03449	GreA_GreB_N	GO:0003677:DNA binding	GO
PF03533	SPO11_like	GO:0003677:DNA binding	GO
PF03589	Antiterm	GO:0003677:DNA binding	GO
PF03604	Zn_ribbon_RPAB4	GO:0003677:DNA binding	GO
PF03615	GCM	GO:0003677:DNA binding	GO
PF03728	Viral_DNA_Zn_bi	GO:0003677:DNA binding	GO
PF03730	Ku_C	GO:0003677:DNA binding	GO
PF03754	At2g31720-like	GO:0003677:DNA binding	GO
PF03789	ELK	GO:0003677:DNA binding	GO
PF03790	KNOX1	GO:0003677:DNA binding	GO
PF03791	KNOX2	GO:0003677:DNA binding	GO
PF03837	RecT	GO:0003677:DNA binding	GO
PF03859	CG-1	GO:0003677:DNA binding	GO
PF03869	Arc	GO:0003677:DNA binding	GO
PF03871	RNA_pol_Rpb5_N	GO:0003677:DNA binding	GO
PF03910	Adeno_PV	GO:0003677:DNA binding	GO
PF03925	SeqA	GO:0003677:DNA binding	GO
PF03965	Penicillinase_R	GO:0003677:DNA binding	GO
PF03979	Sigma70_r1_1	GO:0003677:DNA binding	GO
PF03989	DNA_gyraseA_C	GO:0003677:DNA binding	GO
PF04014	MazE_antitoxin	GO:0003677:DNA binding	GO
PF04042	DNA_pol_E_B	GO:0003677:DNA binding	GO
PF04057	Rep-A_N	GO:0003677:DNA binding	GO
PF04082	Fungal_trans	GO:0003677:DNA binding	GO
PF04090	Rrn11	GO:0001164:RNA polymerase I core promoter sequence-specific DNA binding	GO
PF04218	CENP-B_N	GO:0003677:DNA binding	GO
PF04310	MukB	GO:0003677:DNA binding	GO
PF04313	HSDR_N	GO:0003677:DNA binding	GO
PF04364	DNA_pol3_chi	GO:0003677:DNA binding	GO
PF04397	LytTR	GO:0003677:DNA binding	GO
PF04406	TP6A_N	GO:0003677:DNA binding	GO
PF04471	Mrr_cat	GO:0003677:DNA binding	GO
PF04546	Sigma70_ner	GO:0003677:DNA binding	GO
PF04555	XhoI	GO:0003677:DNA binding	GO
PF04556	DpnII	GO:0003677:DNA binding	GO
PF04560	RNA_pol_Rpb2_7	GO:0003677:DNA binding	GO
PF04561	RNA_pol_Rpb2_2	GO:0003677:DNA binding	GO
PF04563	RNA_pol_Rpb2_1	GO:0003677:DNA binding	GO
PF04565	RNA_pol_Rpb2_3	GO:0003677:DNA binding	GO
PF04566	RNA_pol_Rpb2_4	GO:0003677:DNA binding	GO
PF04589	RFX1_trans_act	GO:0003677:DNA binding	GO
PF04661	Pox_I3	GO:0003697:single-stranded DNA binding	GO
PF04675	DNA_ligase_A_N	GO:0003677:DNA binding	GO
PF04684	BAF1_ABF1	GO:0003677:DNA binding	GO
PF04689	S1FA	GO:0003677:DNA binding	GO
PF04704	Zfx_Zfy_act	GO:0003677:DNA binding	GO
PF04726	Microvir_J	GO:0003677:DNA binding	GO
PF04767	Pox_F17	GO:0003677:DNA binding	GO
PF04769	MATalpha_HMGbox	GO:0008301:DNA binding, bending	GO
